2019,2018,2017,2016
有趣,完全不瞭解,世界上有各種各式各樣的語言，它們代表了各種不同民族的文化與生活型態，藉由學習語言我享受於徜徉世界的暢快。,"語言學是一門關於人類語言的科學研究。語法中包含了詞法（單詞的形成與組成），句法（決定單詞如何組成短語或句子的規則）以及語音（聲音系統與抽象聲音單元的研究）。

與學習語言不同，語言學是研究所有人類語文發展有關的一門學術科目（通常只有根據語言，非文字）。"
語言是一個民族文化的象徵，隨著時代推進會逐漸改變。,是一種科學，針對人與人之間的溝通做研究，因此可以應用在多方面，給予人更健全的發展。,需要強烈的邏輯概念,稍有接觸
"關於語言的語法、發音、句法的學問。
可以在翻譯，社會學，甚至是建構人工語言等方面有許多應用",幾乎沒什麼了解，只知道是有關於語言的結構與根本，需要具備邏輯思考的能力,觀察人類文化所發展出來的各種語言和其中的各種要素(像是聲韻、文法、文字等等)，並試圖研究歸納出裡面的規律。,語言學這個名詞對於高中生甚至大部分人來說是陌生的，除了學校沒有教授相關課程，語言學在台灣做為一個學術科目本身也只有很短的歷史。事實上語言學的目標並不是要學習這些語言，而是以科學的方式研究語言，從語料中得知這些語言怎麼運作，以及我們的腦袋是如何處理這些語言的。現代語言學最主要的研究課題是文法，包含語音，音韻，構詞，句法，語意。此外，語言學更是一門跨領域的學科，涵蓋範圍包括心理學，社會學，生物學，資訊科學，哲學和物理學等等。
我去年有入選國手選訓營，很享受解題目也很喜愛認識其他語言,研究人類語文的學問,有感情的文化,透過邏輯與理性思維去分析語言中的現象，如音韻、文法、辭義等，並試圖歸納或整理出規則。
無,解開謎題,一種靠感覺，需要一點天分的學科,試圖均衡語言中的規則。
珊瑚,每種語言都有它特別的地方和歷史,語言如何產生 以及不同語言之間共通性 學習語言方法等,我認為語言學是一個很有趣的學問，雖然沒有真正學習過語言學，但我覺得語言學不只是在探討語言，也是在瞭解語言背後文化的發展，因此讓我很感興趣
語言學是對於語言研究的一門學問，可以從多個面向研究一種語言的組成以及發展，不只將一種語言的用法推敲清楚，還推及至其他語言和其中的道理。,每種語言都有他獨特的構成方式,語言學就像邏輯一樣 透過提示將答案一步一步抽絲剝繭,"研究語言的科學 
語言的歷史及轉變等"
很酷，很像邏輯推理,研究語言的性質結構等等的學問,如大海般無際,探索語言的歷史、剖析語言的結構並了解語言如何形成及演變
曾經是奧林匹雅語言學培訓國手,有看過開放式課程也做過一些考古題,語言很廣泛，都各有互通性。除了語文能力外，邏輯思考力也很重要。,之前完全不曾接觸過是陌生的領域
可以溝通,語言學是在探討各種文化所創造出的溝通方式，它的形式、演變過程，以及它與自身文化的相關性。,語言大概就是錯綜複雜，尤其每個國家的口音差很多。但語言很有趣,語言系統龐大分支多，語言學能歸納整理出許多分類
Although I haven’t had much experience with linguistics but I’m eager to learn!,與人溝通交流，紀錄文字，文化的一部分,非常豐富多元冥冥之中卻好像又有相似之處,語言的形成 演變 之間的關係
我認為語言是人類偉大的發明之一，有了語言，我們才能成功的傳承文化。而探究語言與語言、或是語言之間的關係就是語言學的內容。,語言的養成需要環境,語言學正是因應國際趨勢而生的自我培養能力而生的自我意識，我們應當積極自取才能面對變化迅速的社會。,不是很大眾的領域
"語言包含了聲音、圖形、文字和動作,運用不同組合方式來表達出一個人的想法。世界上的各種語言大致是從幾個源頭發展而來,並透過長時間的創新與改良,演變成我們現在熟悉的狀態,至今語言依然持續的在變化,而語言學則是在研究其架構與發展。",對我而言，語文學是一種透過思考和推理來了解（冷僻）語文的一種學問。,語言是一種人類的溝通方式，他可以任何形式表達。,語言是一種思考上的邏輯概念，並且可以反映文化的特質。語言學即是上述的研究研究與學習方式。
就以我目前接觸的部分來看，我覺得語言學是一門很需要想像、觀察、邏輯與思考的細緻科學。很神奇而且有趣的挑戰過程。,一種追朔人類邏輯思維演變的科學吧,拼音相同的單字用不同語言來說唸法會差別很大,對於語言學，目前我所知僅是概括，細節我仍未全面了解。根據我的理解，語言學乃透過邏輯、觀察，分析各種語言的結構以及應用，藉由語言學的研究發展各式各樣的專業領域(例如歷史、人類學、科技、生物等)以及幫助文化間的互相交流。
語言學對我來說是一門專門研究語言的科目。其中或許包括一些一般學科上的知識，但更多的是語言自己的根本及其中的奧妙。,沒概念,語言是一種人類的溝通語言，他可以以不同形式表達。,"語言是以人類思維為基礎的科學
語言學是研究這個科學邏輯的學科"
零,我認為語言學是種以科學方法解剖組成一個語言的各部分，包含文法、語音等。語言學可以告訴我們，為什麼五歲不到的小孩可以了解並運用語言，以及他學習歷程中對語言的掌握和理解。,語言學是研究人類語言結構、邏輯及語音等等的一門學問。平日使用母語溝通時，很少會去思索其語言的結構，卻能自然地運用，若透過語言學細究，便能發現其微妙及支撐語言的龐大系統。,語言學是研究傳遞邏輯思考的工具，同時也是傳承歷史文化的利器!
透過語言學可以更了解文字的構造，應用及共通性，對平常認為理所當然的語言，有新的認知，找出他的共通性或特徵，而應用在生活上,研究人類溝通的方式,"與其說是文學，我覺得語言學跟歷史和數學統計有非常密切的關係。最近在閱讀的一本書The Language of Food裡看到一個單字的變化（menu, entrée），就可以延伸出很多非常有趣的研究，我覺得語言學是一個非常豐富的領域。","研究各國語言的起源
單字的結構
各國語言的文法邏輯
涵蓋範圍很廣，語言學不只限於語言領域，也涉及到其他科目的領域
"
語言學是一個對於語言的科學研究，研究範圍包括語音、音韻、語意、構詞、句法、語用等等方面。,研究語言背後的故事與文化背景,語言是一種人與人之間溝通的工具，如果沒有語言，人類就無法順利又詳細的交流，所以我覺得語言很重要。,語言學是語言結構的分析，語音學和音韻學比較需要邏輯，句法學和語意學則是字詞的拆解與組裝。
語言學在研究語言的文法、語義、音韻等等，用邏輯去推理、歸納、分析語言。它可以與地理結合去探討地緣和語言的關係，也可以與歷史結合去研究語言如何分支演變，還可以與科技結合發展人工智慧語言，或與生物、心理、腦神經科學結合去研究語言如何形塑人類思維等等，語言學能廣泛應用於其它學科做跨領域結合。,與學習語言不太一樣，比較像是利用已知條件去推導出未知的語言。,沒有,"我對語言學並不是很瞭解,是經過這個活動第一次接觸這個名詞,但是我知道我對語言抱持著很大的熱情和好奇心"
在習以為常處發現奧妙，以科學方式剖析語言這項人類文明。,以現有的資訊，去推斷其他人造、遠古時期或複雜的語言，進而增進對其他語言的了解。,無,"是一門研究語言的發音、語法、邏輯的學問。
是一門古老的學問，在古希臘時期就有了，經史子集中經的小學也屬於語言學。"
了解我們日常生活中使用語言的演進，探討文字系統,我認為語言學就像是數學裏頭的公式。藉由數學公式，我們可以輕鬆弄清楚數學定理的理路；而藉由語言學，我們可以清晰地剖析一個語言的邏輯，像是主詞動詞的安排順序，或是名詞的單複數變化、動詞的時態變化。,完全不懂,用各種方法瞭解語言的規律和用法
強調邏輯推理，很有趣,"不了解
在探討語言的發源和在現代的應用？",邏輯推理,
略懂但不熟,"我覺得區分有理性的人類和只有獸性的動物就是語言，沒了語言我們就跟一般的野獸一樣，沒有進步，沒有交談，只是一昧的靠本能和直覺生存。
",語言的產生與演化各地相異，不變的是各種語言都充滿了邏輯。例如中文有部首、英文有字根字首……。語言學的世界充滿了奧妙與先人智慧的結晶，讓我深深著迷。,語言是人類與生俱來的本能，從遠古時期到現代，都是不可或缺的溝通元素。然而，在時代的洪流與人類文明的進步下，古老語言漸趨喪失。語言學的研究對我而言就如一場解密，中國古老的甲骨文，甚至是羅賽塔石碑上的神秘古文，都是透過一個個文字的解析才能拼出一段完整時代的宏觀。透過語言學，我們能在現今6000多種語言中解鎖人類文明，對過去的文化有深入了解，也能應用在未來新興的語言工具與科技上。
語言學是一門觀察及分類語言的科學，其中包含了一語言的文法，發音，變化過程，及其要傳遞的意義。,"以此可瞭解各國文化
增廣見文 了解人類演進",耶,"語言是以人類為基礎的邏輯科學
語言學是研究這個邏輯規則的學問"
架構出現在人類溝通的基本架構,認為語言單純的是用來和人溝通的，一個民族的語言也可以顯現當地的特色與文化。,是經過很長的時間，不斷的改變，而成為現在我們說的語言。,古到今，尚有很多我們讀不懂的語言，研究話語字句的關聯、邏輯。
具有邏輯推理性又迷人的科學,不了解,是一種分析語言規則、將文法和詞的變化做分類的學問,語言是人與人溝通的橋樑，語言學是生活中重要的一門課。
研究關於不同語言的結構與意義,不同的語言可以反映不同的文化和時代背景，同時被影響又影響著一個民族的文化。如同文化一般有趣的是每一種語言之間也存在許多共通點，讓在神祕的語言總是有缺口讓人一探究竟。,可以用來獲得不同文化的資訊,
利用邏輯和語感架構，了解我們不認識的語言或文字。,我曾經在高一暑假參加過交大外文營，其中有上到語法學。不同語言都有他自己的文法，像是韓語跟中文，他的名詞受詞動詞等等的可能就排列不一樣。在英文的the，以德文來講就不只一個，大概就是這一些。,似懂非懂曖昧不明,觀察並分析語言中的邏輯性。
表達/溝通的媒介,用科學的方法研究、分析語言的結構，包括語音、語法以及語言的演變等等。個人最喜歡的是認知語言學，關於語言學我也想在台灣推廣人造語言的興趣活動。,分析各種字詞的基礎，進而去瞭解人類的語言。,大概就是研究不同人類的溝通方式
運用邏輯與歷史的演進去理解各種語言間的關係,有趣，可了解各地文化,將以符號排列而成的暗號找出規律並解題，類似密碼學吧⋯⋯,"1.用科學方法從不同面向研究語言，好像需要強大的邏輯推理能力
2.可由語言學的研究延伸至社會,心理等層面"
很有趣,略懂略懂,"一門研究人類語言的科學
了解語言的由來、組成、運作⋯⋯等等","能把抽象化具體
亦將具體變抽象"
語言學是研究人類語文發展的一門學科人類最早的語言研究是從解釋古代文獻開始的，是為了研究哲學、歷史和文學而研究語言的。,瞭解的不多,"自幼，我便對語文方面相當有興趣。然而，「語言學」一詞卻是到了高中才逐漸熟悉的。
語言學並不是學習一門語言，而是針對各種語言的結構、語法、聲調... ...等等的研究。
也許不用特別學習語言學，就能夠順利的使用一種語言。但，有了語言學的存在，日常交流用的話語便多了更多的趣味性，也能找到藏在其中的邏輯性與不同語言間的相異之處。","語音學、音韻學、句法學、語意學
跨越很多領域
研究語言、分析語言結構、研究語言和意義的關係
好像很有趣"
以科學的方法來研究人類各種語言的發展,語言是個很有邏輯性的東西，它可以化作一種思維，一種精神層次的最高境界，極富彈性。,是個有趣 能順便瞭解其他國家語言及文化的一個學科,研究語言的聲調押韻，文字組合，還有語言發展歷史的學問。
透過嚴謹邏輯來探討人與人之間溝通的學問。,語言的規則與分類,一門研究語言的科學,語言學其實是邏輯推理，和一些天分，須要經過訓練
是邏輯判斷,雖然從未認真接觸過，但是看到一些關於語言的研究發現我有點興趣。我覺得語言是文明的起源，是文化建立的基本，溝通的第一步就是有相通的語言。,略知一二,是一門分析語言起源或是句式的學術，可能會探究到古老文字或圖形，從中了解那個國家的文化，了解更多不同的深層意義，不僅限於研究當代的語言裡頭吧。
"抓住模式，研究文字如何表達抽象概念
",研究人們說話的規則,對語言學本身並不了解，但對邏輯推理十分有興趣,以科學方法來研究語言的學科，語言學會去思考每天所使用的語言，包括結構、如何使用語言，了解語言並說出
"瞭解喔……也不多，我只是覺得很有趣而已
然後日文到底算是日本琉球語系還是阿爾泰語系啦QQ",語言學是人類語言的科學研究,"透過認識不同的語言，分析出其中的關聯性，探討其文化的轉變，能有更多種表達情緒的言辭、方式。
培養著未來交友、找工作……等的最有效工具，不再受限。",語言除了是溝通的工具，它同時也在文化傳承中有很大的作用。語言學將各種語言詮釋並互相連通，對文化交流提供更多實質幫助。
語言學是以科學方法來研究語言，包含了語言的文法，結構，邏輯，以及情意等等。目的是藉由語言學來了解整個世界。,人類語言的源頭及變化過程,研究從語音到文字到整個句子形成以及其用法的學問,隨著一個文化的傳承而逐漸產生的
如果說語言是溝通的橋樑，那麽語言學或許是研究多種不同橋樑之間的異同，以及背後的文化發展、生活方式帶來的影響。,博大精深，囊括世界各地主流與破碎的語言類別，加以分析統整，追本溯源建立語言的源頭。,研究世界各地語言應用、音韻、發展，及保存的一門學門。,可分為語音，音韻，構詞，句法，語意，5部分
解碼,是許多門分支學問的總稱，其他分支包括語音學、語意學、語言習得、語用學等等。,藉由不同語言瞭解其文化、社會,變化多端，常會因時代潮流而有所改變。
一種排列組合、邏輯運用,很有邏輯性,研究一個語言中詞和句的關聯性和邏輯規則，推論出整個語言的文法、句型等等。,研究從古至今人類溝通的方式、符號和演變
很多元，在這麼多不同的語言中居然存在相似的規則,研究語法、語義以及語言發展史的一門學問。,用科學邏輯的方法，來分析語言。,語言學研究人類語言的發展、結構與意義，幫助我們了解語言的本質和與人類社會的關聯，也可應用於翻譯、教學方面。
"每個語言都有一定的結構，想要學會如何會話就需要去了解它。但因為語言是“活的”，所以不是每一次都能用你所知道的結構去理解它。
至於語言的字母，需要去了解它的字母是否有意義（如中文）或著只是幫助表達如何發音的媒介（如英文）。",探討語言的原理。研究與語言有關的事物，如文法、語音、文字系統、語言使用狀況、語言與詞彙的演變、人類與語言的關係與使用語言的能力等。,語言學不是在學習各種語言，而是在研究各種語言之間的關係與發展,"關於人類語言的研究,藉由數據研究找出不同語言的邏輯。"
研究各個語言的語法、拼音和其中共通處的學科,"從已知的線索（當地語言與已知語言的對應）中試著找出某種語言的架構、文法...等，而最終的目標是能透過學習而能真正使用該種語言。
（感覺只能說是我對語奧題目的了解）",研究語言,非深但不淺
我覺得語言學是一種關於人類語言的科學研究，讓人更能了解語言的發展,文法單字以及表達,有趣又富有變化性，是古今的連結、文化的瑰寶,語言學的探索很有趣，有點像智力測驗，又有點像是拼圖遊戲。
還不錯,人類之所以與其他生物不同，是有著社會性的互助與高度發展的智能，而知識的流通、彼此間的了解、文化的革新等皆與我們的溝通工具-語言有著密不可分的關係，雖然其他高等生物或有簡單的語言形成，但人類突出的點，在於可以利用文法將許多單字以不同的連接詞、修飾詞成功表達抽象與實際的事物，因此，語言學可以說是研究人類文化發生的一門學問。,對人類語言架構.性質..等相關的學術研究,看不懂的文字
明白語言的結構分成了詞法、句法及語音,我想這是一個你說文，他也可以不文，你說理，他也可以不理的東西。雖然的確是以文字語言架構出得學科，但邏輯思考更不能缺少。,一種需要瞭解音韻、結構、語調等，並運用邏輯推理與分析去解決問題的學問,不太瞭解，經由英文老師才大概知道
不太了解,可嘗試的領域,人類溝通的橋樑、知識的出口、文化的傳承,語言是有邏輯性且能夠透過藉由相關已知的句子、詞語去推估其他未知的詞語。
一門研究各種語言的來源、結構、文法、發音等等的學科,我對語言學非常有興趣，尤其語言自古以來如何變化和不同語言的文法與詞根。,有趣具變化性，看似不同文化的語言，具有相似的文法和結構，就連不同語系的語言，都有相似的地方,理性、感性兼具的一門科學
需要思考並具備一定的邏輯,其實沒什麼了解，但覺得邏輯推演還蠻有趣的。,語言是人類文明化的指標，也是各種種族思考邏輯的歸納與演化的成就表現。,"一門研究語言的科學，約略分為語音、音韻、句法、構詞及語意等。
語言，可畫成一個有如生命樹的圖像以示各語言間彼此的關係。
許多優秀的語言學家在數學的領域也有極卓越的成就；或許是因為數學，也是一種語言。
"
研究詞義、語法、句法以及發音。,參加過幾次語奧活動，但了解不多。語言學是關於語言的科學，需要用邏輯及理解力來分析各語言,不熟悉,人與人交流的媒介
言語和文字的組合; 它的來源以及應用. ,觀察、分析、歸納人們如何使用語言,很有趣,尋找語言的規律並加以利用
語言是一種圖像，是一種文字組合，是一種思想，是一種文化，是溝通橋樑,語言是人與人之間溝通的重要管道，我想語言學是深入鑽研各式語言的演進、規則以及發展特色，諸如民族與語言、地理位置與語言間關係的一門學問。,運用邏輯推理發現語言中的規則,語言學實在是一面有趣又需動腦的科目，我想語言學應該是一門對語法跟語用的研究吧
有關於邏輯推理,我認為語言學探討的不只是人與人之間的日常對話，更是關於思考、邏輯還有人與其他物種，甚至非生命物質間的情感交流。,博大精深,"語言是人類溝通的最方便的橋樑
我認為語言學是關於語言的使用和語言如何影響了人類的生活"
跟邏輯相關,有學過一點,我認為語言學是探究人類曾經使用或正在使用的語文，包括分析語言的結構、語意、習慣用法。,"我會寫程式 i.e. Python, Javscript, C++那種，也有想要研究過Natural Language Processing那種東西"
異中有同 而同中有異,一門運用科學方法來探究、歸納語言特徵與奧妙，並使相關知識在科技及人文上能有所運用的學科,對語言做深入研究與探討，進而了解更多邏輯與規則的學問,語言學是奠定語言結構的根基，包含其文字演變過程中的文化，及邏輯思考的方式。
表現人們情感的媒介,語言學是溝通的基礎，也同時紀錄人類自後巴別塔時代以來為瞭解彼此演化的過程。,要具備邏輯分析推理的能力,"1. 語言學是研究語言的科學. 人們從不同的語言中搜集各種語言資料, 加以分析, 幫助我們了解語言的運作.
2.在我學過的語言中, 西班牙, 法,  義大利, 葡萄牙是屬於同一語系, 文法結構有少許不同. 韓文和日文的文法結構類似, 雖然這兩者中有漢字存在, 但它們和中文之間有頗大的差異. 英文和德文算是同一個語系, 但我覺得經過這麼長時間變化, 兩者差異較大. 阿拉伯文和俄文則是另外兩種完全不同的語言, 文法結構也很複雜."
基本概略,很有興趣,一無所知,需利用邏輯來分析、思考構句元素的一門學問。
有點難理解它的規律,研究語言的科學方法，分析解剖語法中的詞法、句法和語音。,"是一種系統。
如同數學一般，",人類社會和語言關係密切，語言學不止代表了這項交流工具的結構還能進一步了解不同的文化。
人與人之間溝通的一種方式，每種語言都有自己獨特的邏輯，並不是隨便變造出來的。,一種表示方法，不限文字，無論具體或抽象，傳達本身想法或概念,語言學看似無聊，但是人類溝通的橋樑和根本。,探索語言中，藏在聲音.語句中的奧妙。
地區的差別衍伸出不同的語系，其用字不同，語法不同，精確度也不同，然而到了口語用法又有所差別，用字可帶有語氣，導致了更加複雜的學問,不需要懂全部的語言，語言都是人創造出來的，有一定的語法邏輯存在。,"專門研究人類語言的結構與意義
比較不同語言間的相同與相異處
探究相同與相異之原因",對於人類語言的科學研究，學習的是不是語言本身，是分析語言，了解語言的運作模式，包括音韻，語義，句法等等。
"很像拼圖一樣
",非常具有挑戰性 ,"是個有邏輯,在深入瞭解後更有趣的溝通方式",包含語音學、音韻學｀句法學及語意學，可推出自己不了解文字的大概意思
翻譯，知道更多國家的語言,解謎,linguistics,語言學是探討語音、詞意、詞性、句子結構、語意等知識的一門學問。我們可以透過語言了解不同民族思考方式的差異，甚至可以了解歷史的變遷。
以邏輯性的分析和思考解析語言 包括如何生成 發音 意義......,語言學就是用科學的方法去研究語言，利用每種語言的自己一套系統和邏輯去探索語言,一片空白,語言是人與人溝通的工具，同時也是一門藝術
尋找語言的規律及更加了解語言,凡是語言必定存在某些邏輯規則,語言的價值是作為了解一個國家文化的基礎,用現代科學的角度來研究人類語音和文字間的結合關係。
語言是搭起世界溝通的橋樑，有了語言我們才能和來自各地、有不同背景、不同故事的人來往，也能藉這個機會更加充實自己，讓自己更好。,不單純是文學造詣 也需要邏輯推理才能學好,是一個有邏輯也可以很有趣的溝通方式，能訓練我的想法與思考,"I think that linguistics is the study of how language works and what role it plays in society. In linguistics, we analyze the building blocks of language - things like how sounds are made, how words fit with each other, and the impact it has on culture. "
研究人類如何學習、使用語言，包含同一種語言或不同語言中發音、文法、語意，還有語言的改變等。,覺得有意思,知道基礎結構和推演的方法,和語言、文字有關的一切學問。
語言學涵蓋很多內容，不光在剖析文法，在語言口音上如何發聲也是語言學的一部分。破解古文字是實際應用的其中一種，會在不同語言當中尋找文法規律。,語言可以用很多方式來組成，不一定是文字，也可以用符號或數字。,語言和文化息息相關，透過語言可以瞭解人類社會，並研究語言的發展。,目前完全不了解
很有趣,是一種人與人溝通的方式,"I think Linguistics is the study of the form of languages in  many aspects. It could be studied from the perspective of grammar, the structure of words, or the pronunciation of letters, etc. ",語言學不需要學會很多很多種語言，但是要從文字間找規律等和邏輯思考密切相關的一種學科
有點好玩的感覺,就大概是給了一本用沒看過的文字寫得書，然後可以藉由分析推測，瞭解裡面的內容,"人社計畫因緣際會之下，接觸過語言學的簡介。
語言不只是說話，還融合了一個地區的生活習慣、民俗風情等，甚至時空背景也參與其中。",語言學是指對語言的科學研究。其中包括探究世界數多語言的共同特質。
暸解語文學的用意，並暸解其他國家,在接觸到國際語言學奧林匹亞前，我以為語言學是剖析和研究世界所有語言的體系，但我後來學習並瞭解到語言學是運用邏輯推理能力來解析,除了邏輯推理外，語言也含有大量的譬喻，甚至不同地方稱呼同一事物所用的名詞會有不同。,暫無
探究人如何說出語言，為何說出語言，並嘗試用科學方法解釋的學問,與人溝通的工具，在有才能的基礎下能透過語言跳得更高,語言學就是一門研究人們日常生活最重要的「語言」的學問，沒有語言，人們無法跟彼此溝通。,"用邏輯去歸納一個語言
找出規律和特性"
要學習這一門課很不容易,每一種語言都有各自遵循的規則，透過語言能了解當地的文化以及人的價值觀,透過邏輯分析思考來理解語言，並非透過死背，才能融會貫通,語言學是用嚴謹的科學觀點剖析語言，系統化建構語言學科，以進行研究探討，目前對於語言學的研究集中於文法，分為語音學、 音韻學、 構詞學、 句法學及語意學。
很深奧,"Linguistics, to me, is a basic structure for a language. It provides a basic guideline or a universal rule for that language, so you can better understand it and have something to rely on.",分析人如何建構溝通的方式，每一種語言有它不同的美，不論字型、文法還是方言,我想語言學研究了人類的本能語言能力，能進一步瞭解人類的本質，並有所應用
較少被注意到的語言,嘗試解讀不懂的語言,瞭解一種語言，進而探究其文化、族群,邏輯 音律 跟讀外國語文不一樣
語言學並不侷限於對單一語言的了解，其範疇包括語音學，語言結構的分析及研究，語言如何隨著時間演化，而在電腦程式上也有所應用。,"電影「異星入境」的女主角Louise就是語言學博士(Btw我很喜歡這部電影)，她在片中提到，當我們使用不同語言的時候，就會用那個語言的思路來進行思考，當用不同語言思考的時候，所產生的想法也有所不同。語言學就是去探討語言的邏輯(ex修辭)吧(簡單來說)
",詞語從古至今演變的過程。透過語言學可以更認識一個詞背後的意義來幫助學習、了解該語言。,主要研究人類的語言，包括語言的結構與句法、詞意等等，並涉及到許多不同的學科領域。
語言學是個需要推理能力的學問,只要有心付出人人都可以學是個接觸世界的資本,我覺得語言學就是研究語言的一門課,語言學是一門研究語言及文字的學科，與生活中許多層面有著不可劃分的關聯，例如在生理、心理層面，可以延伸出心理語言學、神經語言學等；人文方面則有社會語言學等。語言學還包含語音學、語意學、具法學、音韻學。藉由研究人類最核心的語言能力，更進一步來了解人類發展與語言之間的的奧秘。
研究語言的科學,我認為語言大抵是由文字和語法架構而成，求學時期對於中文和英文有極大熱忱，除了專業上訓詁或文法的研究，語言學更是前人的智慧結晶，學了一種語言，也更了解一種文化。,語言是人類溝通的重要工具，自人類群居以來，不同地點發展出各自的溝通方式，其中總有一定的規律及特色值得我們去探索，透過語言學的邏輯研究方法，或許也能探討出不同地理環境所造成的結果。,研究語言的組成，像是一句話中主詞動詞的位置；或是破解失傳的語言。
因為從小接受雙語教育，很自然用“聽”來學習；小學中高年級之後，用“看”來學習的比例增加。我沒有修過語言學，只是很幸運的，能夠長期接觸中英文這兩種性質差異較大的語言，領略其共通與不同之處。,我覺得很深奧，也很神奇,語言的學術研究,一門探討人類與人類之間用各種有邏輯性的符號與發音交流資訊，進而發展出不同文化與認知的學問
大致上了解,很像拼圖一樣,語言學是顯示文化發展軌跡的方式，也是人與人情感、想法傳遞的媒介，更是美學的一種。,有一定的邏輯及規律，可以從文字中看出文化的內涵
"溝通的橋樑
瞭解一個文化的最佳途徑",思維的具現化,"有趣 訓練邏輯思考
觀察力以及詳細力
",語言學是研究人類語言使用方式和結構等等的一門學問。
NA,感覺很好玩,語言學是一種由已知的語言透過邏輯推理來判讀各種不同的語言的學問,"語言博大精深,一輩子都研究不完"
這題根據我之前學毛利語的經驗來看的話。。。,博大精深，充滿邏輯。,推測語言的演變，找出不同語言中的規律包括發音、句型結構、類似單字，可能像重新排列組合一樣。,一門學問 有很多需要探索
NA,人與人的溝通橋樑，與對事物的理解與挖掘。,研究人類語言，研究語法結構、使用機制，分類、比較不同語言等等。,一種邏輯推理
