Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
"Mythic Leopard",2018-05-18,"Also known as Transparent Tribe and C-Major","This threat actor uses social engineering and spear phishing to target military and defense organizations in India, for the purpose of espionage.",,India,Pakistan,Espionage,"Government, Private sector",https://www.crowdstrike.com/blog/adversary-of-the-month-for-may/,,
"Compromise of the U.S. Anti-Doping Agency",2018-10-04,"Believed to be the work of APT 28","A threat actor compromised the U.S. Anti-Doping Agency. Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.","Criminal charges   https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and","U.S. Anti-Doping Agency","Russian Federation",Doxing,"Civil society",https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,
Dymalloy,2018-06-14,"Believed to be linked to Crouching Yeti","This threat actor targets industrial control systems in Turkey, Europe, and North America.",,"Turkey,",,Espionage,"Private sector",https://dragos.com/blog/20180614Dymalloy.html,,
"Targeting of individuals of interest to the government of Lebanon",2018-01-18,,"A threat actor used a tool, Dark Caracal, to target military personnel, activists, journalists, and lawyers for espionage purposes.",,"United States, Canada, Germany, Lebanon, France",Lebanon,Espionage,"Military, Civil society",https://www.eff.org/press/releases/eff-and-lookout-uncover-new-malware-espionage-campaign-infecting-thousands-around,https://info.lookout.com/rs/051-ESQ-475/images/Lookout_Dark-Caracal_srr_20180118_us_v.1.0.pdf,
"Compromise of a diplomatic entity in Qatar",2018-06-07,,"A threat actor uses a zero-day vulnerability in Adobe Flash software to compromise a diplomatic target in Qatar.",,Qatar,,Espionage,Government,https://www.cyberscoop.com/adobe-flash-zero-day-qatar/,http://blogs.360.cn/blog/cve-2018-5002-en/,https://www.icebrg.io/blog/adobe-flash-zero-day-targeted-attack
"Targeting of U.S. defense contractors",2018-09-06,"Believed to be the work of Lazarus Group","A threat actor targeted the networks of Lockheed Martin, a U.S. defense contractor. It is one of the developers of the Terminal High Altitude Area Defense (THAAD) system installed in South Korea.","Criminal charges   https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and","United States","Korea (Democratic People's Republic of)",Espionage,"Private sector",https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,,
"Mustang Panda",2018-06-15,,"This threat actor targets nongovernmental organizations using Mongolian-themed lures for espionage purposes.",,"United States",China,Espionage,"Civil society",https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-june-mustang-panda/,,
"Compromise of the Court of Arbitration for Sport",2018-10-04,"Believed to be the work of APT 28","A threat actor compromised the Court of Arbitration for Sport. Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.",,"Court of Arbitration for Sport","Russian Federation",Doxing,"Civil society",https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,
"Targeting of a chemical plant in Ukraine",2018-07-11,"Believed to be the work of the same threat actors behind the alleged Russian compromise of networking equipment","A threat actor used a tool called VPNFilter to target a chemical plant in eastern Ukraine that provides chlorine to water- and sewage-treatment plants in that country. Ukraine’s intelligence service claims to have thwarted the incident.",,Ukraine,"Russian Federation",Sabotage,"Private sector",https://en.interfax.com.ua/news/general/517337.html,https://www.theregister.co.uk/2018/07/13/ukraine_vpnfilter_attack/,https://dragos.com/blog/20180716UkraineChemicalPlantEvent.html
"Iron Tiger",2018-02-01,,"This threat actor targets governments as well as technology, education, and telecommunications companies primarily in Asia and the United States, for the purpose of espionage.",,"United States, Canada, Australia, Japan, China, Republic of Korea, Taiwan, Thailand, Russia, India, Israel, Iran",,Espionage,"Government, Private sector",https://labs.bitdefender.com/2018/02/operation-pzchao-a-possible-return-of-the-iron-tiger-apt/,,
"Targeting of financial and chemical organizations in Europe",2018-06-19,"Believed to be the work of the same actors behind the compromise of the 2018 Winter Olympics","A threat actor uses a tool, called Olympics Destroyer, to target financial organizations in Russia and biological and chemical laboratories in Ukraine and other countries in Europe.",,"Russia, France, The Netherlands, Switzerland, Germany, Ukraine","Russian Federation",Espionage,"Private sector",https://securelist.com/olympic-destroyer-is-still-alive/86169/,,
"Targeting of the personal email accounts of U.S. Senators and staff",2018-09-19,,"A threat actor targeted the personal email accounts of U.S. senators and staffers, according to Senator Ron Wyden (D-OR) and an unnamed technology company.",,"United States",,Espionage,Government,https://apnews.com/7f101802563c425c825e0843ca3fa49b,https://www.documentcloud.org/documents/4906721-Wyden-cybersecurity-letter-9-19-18.html,
"Compromise of Australian National University",2018-07-06,,"A threat actor has compromised the network of Australian National University for espionage purposes.",,Australia,China,Espionage,"Civil society",https://www.smh.com.au/politics/federal/chinese-hackers-breach-anu-putting-national-security-at-risk-20180706-p4zq0q.html,http://www.abc.net.au/news/2018-07-06/chinese-hackers-infilitrate-anu-it-systems/9951210,https://www.cyberscoop.com/chinese-linked-hackers-breached-top-australian-defense-university-report/
"Compromise of the Canadian Centre for Ethics in Sport",2018-10-04,"Believed to be the work of APT 28","A threat actor compromised the Canadian Centre for Ethics in Sport. Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department. Canada issued a statement attributing the incident to Russian military intelligence.","Denouncement   https://www.canada.ca/en/global-affairs/news/2018/10/canada-identifies-malicious-cyber-activity-by-russia.html","Canadian Centre for Ethics in Sport","Russian Federation",Doxing,"Civil society",https://www.canada.ca/en/global-affairs/news/2018/10/canada-identifies-malicious-cyber-activity-by-russia.html,https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,
"Compromise of the Dukes",2018-01-25,,"A threat actor successfully compromised the networks of the Dukes, gaining visibility into the Dukes’ targeting methods and operations. This compromise allegedly helped the U.S. intelligence community to attribute the 2016 compromise of the Democratic National Committee and other entities to Russian state-sponsored actors.",,"Russian Federation",Netherlands,Espionage,Government,https://www.volkskrant.nl/tech/dutch-agencies-provide-crucial-intel-about-russia-s-interference-in-us-elections~a4561913/,https://www.washingtonpost.com/news/worldviews/wp/2018/01/26/dutch-media-reveal-country-to-be-secret-u-s-ally-in-war-against-russian-hackers/?utm_term=.e3b1bd96c5a3,
"Targeting of chemical research and media organizations in Germany",2018-07-12,"Believed to be the work of the Black Energy threat actor.","A threat actor targets German media companies and organizations involved in chemical weapons research, for the purpose of espionage.",,Germany,"Russian Federation",Espionage,"Private sector",https://www.verfassungsschutz.de/embed/broschuere-2018-07-bfv-cyber-brief-2018-02.pdf,,
"Poison Ivy",2018-09-21,,"This threat actor targets government and private-sector entities in the defense, maritime, and science and technology sectors in China for espionage purposes. It is particularly interested in information related to cross–Taiwan Strait and U.S.-Sino relations.",,China,,Espionage,"Government, Private sector",http://blogs.360.cn/post/APT_C_01_en.html,,
HenBox,2018-03-13,,"This threat actor targets Uighurs—a minority ethnic group located primarily in northwestern China—and devices from Chinese mobile phone manufacturer Xiaomi, for espionage purposes.",,Uighurs,China,Espionage,"Civil society",https://researchcenter.paloaltonetworks.com/2018/03/unit42-henbox-chickens-come-home-roost/,,
"Compromise of FIFA",2018-10-04,"Believed to be the work of APT 28","A threat actor compromised the Federation Internationale de Football Association (FIFA). Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.",,"Federation Internationale de Football Association (FIFA)","Russian Federation",Espionage,"Civil society",https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,
"Stealth Mango and Tangelo",2018-05-15,,"This threat actor, which consists of Stealth Mango (Android) and Tangelo (iOS), targets government officials, diplomats, military personnel, and activists in primarily Afghanistan, India, Iraq, Pakistan, and the United Arab Emirates for espionage.",,"Pakistan, Afghanistan, India, Iraq, United Arab Emirates, United States, Australia, Germany",Pakistan,Espionage,"Government, Civil society",https://blog.lookout.com/stealth-mango,https://info.lookout.com/rs/051-ESQ-475/images/lookout-stealth-mango-srr-us.pdf,https://www.cyberscoop.com/pakistani-military-spyware-stealth-mango-tangelo-lookout/
"Targeting of the office of U.S. Senator Claire McCaskill",2018-07-26,"Believed to be the work of APT 28","The office of U.S. Senator Claire McCaskill (D-MO) announced that it was targeted by Russian state-sponsored cyber actors, following a report of the incident in the Daily Beast.",,"United States","Russian Federation",Espionage,Government,https://www.thedailybeast.com/russian-hackers-new-target-a-vulnerable-democratic-senator,https://www.mccaskill.senate.gov/media-center/news-releases/mccaskill-statement-on-report-of-attempted-russian-hacking,
"Compromise of computer networks associated with the 2018 Pyeongchang Winter Olympics",2018-02-12,,"A threat actor, using a tool called Olympic Destroyer, successfully disrupted computer networks associated with the 2018 Winter Olympics in Pyeongchang, South Korea, before the opening ceremony. Among other things, the incident crashed the Wi-Fi network in the Olympic stadium and the press center.",,"Republic of Korea","Russian Federation",Sabotage,"Civil society",http://blog.talosintelligence.com/2018/02/olympic-destroyer.html,https://www.washingtonpost.com/world/national-security/russian-spies-hacked-the-olympics-and-tried-to-make-it-look-like-north-korea-did-it-us-officials-say/2018/02/24/44b5468e-18f2-11e8-92c9-376b4fe57ff7_story.html,https://securelist.com/olympicdestroyer-is-here-to-trick-the-industry/84295/
Thrip,2018-06-19,,"This threat actor targets organizations in the satellite communications, telecommunications, geospatial-imaging, and defense sectors in the United States and Southeast Asia for espionage purposes.",,"United States",,Espionage,"Private sector",https://www.symantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets,https://www.reuters.com/article/us-china-usa-cyber/china-based-campaign-breached-satellite-defense-companies-symantec-idUSKBN1JF2X0,
"Cobalt Dickens",2018-08-24,"Believed to be associated with the Mabna Institute","This threat actor targets universities around the world for espionage purposes.",,"Australia, Canada, China, Israel, Japan, Switzerland, Turkey, United Kingdom, United States","Iran (Islamic Republic of)",Espionage,"Civil society",https://www.secureworks.com/blog/back-to-school-cobalt-dickens-targets-universities,,
"UK targeting of the Islamic State group",2018-04-12,"Believed to be associated with the U.S. targeting of the Islamic State Group.","The United Kingdom’s Government Communications Headquarters director announced that, along with the UK Ministry of Defense, it had conducted a “major offensive cyber campaign” directed at the Islamic State, with the purpose of disrupting the group’s ability to recruit and coordinate. The UK campaign mirrors a previous one announced by the U.S. government in 2016.",,"Islamic State Group","United Kingdom",Sabotage,"Civil society",https://www.gchq.gov.uk/sites/default/files/Director%20GCHQ%20speech%20CyberUK%202018.pdf,https://www.bbc.com/news/technology-43738953,
"Targeting of Westinghouse Electric Corporation",2018-10-04,"Believed to be the work of APT 28","A threat actor targeted Westinghouse Electric Company, a nuclear power developer, for espionage purposes. One of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), was indicted by the U.S. Justice Department.","Criminal charges   https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and","Westinghouse Electric Company","Russian Federation",Espionage,"Private sector",https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,
"Targeting of North Korean defectors and journalists",2018-05-15,"Believed to be associated with the Lazarus Group","A threat actor targets North Korean defectors and journalists with an interest in North Korea by compromising their Android devices, for espionage.",,"South Korea","Korea (Democratic People's Republic of)",Espionage,"Civil society",https://securingtomorrow.mcafee.com/mcafee-labs/north-korean-defectors-journalists-targeted-using-social-networks-kakaotalk/,https://www.cyberscoop.com/new-hacking-campaign-targets-north-korean-defectors-in-south-korea/,https://securingtomorrow.mcafee.com/mcafee-labs/malware-on-google-play-targets-north-korean-defectors/
Raspite,2018-08-02,,"This threat actor targets entities that operate industrial control systems in the electric utility sector.",,"United States",,Espionage,"Private sector",https://www.dragos.com/blog/20180802Raspite.html,,
"APT 37",2018-02-20,"Also known as Reaper and Group 123","This threat actor uses social engineering techniques to target companies in the chemicals, electronics, manufacturing, aerospace, automotive, and health-care sectors, as well as the South Korean government.",,"Republic of Korea, Japan, Vietnam","Korea (Democratic People's Republic of)",,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2018/02/apt37-overlooked-north-korean-actor.html,https://blog.talosintelligence.com/2018/01/korea-in-crosshairs.html,https://researchcenter.paloaltonetworks.com/2018/04/unit42-reaper-groups-updated-mobile-arsenal/
"Targeting of German critical infrastructure sectors",2018-06-07,"Believed to be the work of Crouching Yeti","A threat actor targeted critical infrastructure entities in the energy, water, and telecommunications sectors, prompting the German government to issue a public alert. In remarks following the alert's release, the head of Germany’s domestic intelligence agency accused Russia of controlling the targeting campaign.","Denouncement   https://www.reuters.com/article/us-germany-cyber-russia/german-intelligence-sees-russia-behind-hack-of-energy-firms-media-report-idUSKBN1JG2X2",Germany,"Russian Federation",Espionage,"Private sector",https://www.verfassungsschutz.de/embed/broschuere-2018-06-bfv-cyber-brief-2018-01-neu.pdf,https://www.reuters.com/article/us-germany-cyber-russia/german-intelligence-sees-russia-behind-hack-of-energy-firms-media-report-idUSKBN1JG2X2,
"Targeting of Omar Abdulaziz",2018-10-01,,"A threat actor targeted the iPhone of Omar Abdulaziz, a critic of the Kingdom of Saudi Arabia living in Canada, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",,"Omar Abdulaziz","Saudi Arabia",Espionage,"Civil society",https://citizenlab.ca/2018/10/the-kingdom-came-to-canada-how-saudi-linked-digital-espionage-reached-canadian-soil/,,
"Compromise of Mongolian government data center",2018-06-13,,"A threat actor has compromised a government data center in Mongolia. Kaspersky Lab assesses that the threat actor used its access to compromise websites that they will use in subsequent watering-hole attacks.",,Mongolia,China,Espionage,Government,https://www.cyberscoop.com/apt27-mongolia-kaspersky/,https://securelist.com/luckymouse-hits-national-data-center/86083/,
"Alleged Russian compromise of networking equipment",2018-04-16,"Believed to be associated with the Black Energy threat actor. Also known as VPNFilter","The U.S. Department of Homeland Security and the UK National Cyber Security Centre issued a joint alert warning of a Russian state-sponsored campaign to compromise networking equipment, such as routers and switches, to support their cyber operations. A few weeks later, the FBI took control of a botnet with over five hundred thousand compromised devices and issued a public request that individuals with certain router models restart them.","Sanctions   https://home.treasury.gov/news/press-releases/sm0410","Worldwide, United States, United Kingdom, Ukraine","Russian Federation",Sabotage,"Private sector",https://www.us-cert.gov/ncas/alerts/TA18-106A,https://blog.talosintelligence.com/2018/05/VPNFilter.html,https://arstechnica.com/information-technology/2018/06/vpnfilter-malware-infecting-50000-devices-is-worse-than-we-thought/
"Gorgon Group",2018-08-02,,"This threat actor targets government entities in the United States and Europe. It also conducts criminal operations.",,"United States, Spain, Russian Federation, United Kingdom",,Espionage,Government,https://researchcenter.paloaltonetworks.com/2018/08/unit42-gorgon-group-slithering-nation-state-cybercrime/,,
"Compromise of an air-gapped German government network",2018-02-28,,"A threat actor compromised the Informationsverbund Berlin-Bonn, a computer network air gapped from the global internet, used by the German chancellery, parliament, Foreign Office, and other government departments based in Bonn, Germany.","Denouncement   https://www.reuters.com/article/us-germany-security/moscow-likely-behind-hack-on-german-govt-spy-chief-says-idUSKBN1HI19D",Germany,"Russian Federation",Espionage,Government,http://www.dw.com/en/germany-admits-hackers-infiltrated-federal-ministries-russian-group-suspected/a-42775517,https://twitter.com/RidT/status/969585432567611393,http://www.spiegel.de/international/germany/cyber-espionage-likely-from-russia-targets-german-government-a-1196520.html
RedAlpha,2018-06-26,"Believed to use similar infrastructure as the NetTraveler, Icefog, and APT 17 threat actors","This threat actor targets Tibetan organizations based in India, for the purpose of espionage.",,India,China,Espionage,"Civil society",https://www.recordedfuture.com/redalpha-cyber-campaigns/,,
"Targeting of congressional campaigns for the 2018 U.S. midterm elections",2018-07-19,"Believed to be the work of APT 28","A threat actor targets the campaigns of candidates running for Congress in the 2018 U.S. midterm elections.",,"Candidates for the U.S. Congress","Russian Federation",Espionage,Government,https://www.youtube.com/watch?v=NlCJokZcwJA,https://www.cyberscoop.com/microsoft-reveals-first-known-russian-hacking-attempt-aimed-2018-midterms/,
"Targeting of South Korean actors prior to meeting of Donald J. Trump and Kim Jong-un",2018-06-05,"Believed to be the work of TempTick and Turla","Two separate threat actors targeted South Korean government organizations prior to the meeting between U.S. President Donald J. Trump and North Korean leader Kim Jong-un, for the purpose of espionage.",,"South Korea","China, Russian Federation",Espionage,Government,https://www.wsj.com/articles/south-korea-fends-off-chinese-russian-cyberattacks-u-s-researcher-says-1528194642,https://www.cyberscoop.com/chinese-russian-hacking-groups-spy-south-korea-amid-u-s-north-korea-peace-talks/,https://www.independent.co.uk/life-style/gadgets-and-tech/news/trump-us-north-korea-summit-kim-jong-un-hackers-china-russia-a8384586.html
"Indictment of officials from the Mabna Institute",2018-03-28,,"The U.S. Department of Justice indicted nine officials from the Mabna Insititute, an Iranian company alleged to have conducted state-sponsored cyber operations on behalf of the Iranian Revolutionary Guards. They are alleged to have compromised the networks of over 144 U.S. universities, 176 universities in over twenty-one other countries, as well as private sector, government, and multilateral entities.","Criminal charges   https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary","United States, United Nations, UNICEF, Australia, Canada, China, Denmark, Germany, Ireland, Israel, Italy, Japan, Malaysia, Netherlands, Norway, Poland, Singapore, Republic of Korea, Spain, Sweden, Switzerland, Turkey, United Kingdom","Iran (Islamic Republic of)",Espionage,"Government, Civil society, Private sector",https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary,https://home.treasury.gov/news/press-releases/sm0332,
Rancor,2018-06-26,"Believed to use similar tools as DragonOK","This threat actor uses spear-phishing techniques to target political organizations in Southeast Asia, for the purpose of espionage.",,"Singapore, Cambodia",China,Espionage,"Government, Civil society",https://researchcenter.paloaltonetworks.com/2018/06/unit42-rancor-targeted-attacks-south-east-asia-using-plaintee-ddkong-malware-families/,https://www.securityweek.com/rancor-cyber-espionage-group-uncovered,
"Targeting of Yahya Assiri",2018-08-01,,"A threat actor targeted Yahya Assiri, a critic of the Kingdom of Saudi Arabia and a researcher at Amnesty International, for espionage purposes. The threat actor used the Pegasus tool, created by the NSO Group.",,"Yahya Assiri","Saudi Arabia",Espionage,"Civil society",https://www.amnesty.org/en/latest/research/2018/08/amnesty-international-among-targets-of-nso-powered-campaign/,,
"Compromise of SingHealth, a large health-care provider in Singapore",2018-07-20,,"A threat actor compromises the networks of SingHealth, the largest health-care provider in Singapore. Personal data of over 1.5 million patients was compromised, including the pharmaceutical prescriptions of 160,000 people.",,SingHealth,,Espionage,"Private sector",https://www.reuters.com/article/us-singapore-cyberattack/singapore-disconnects-healthcare-computers-from-the-internet-after-cyber-attack-idUSKBN1KE15X,https://www.straitstimes.com/politics/parliament-singhealth-attack-due-to-apt-group-typically-linked-to-foreign-governments-says,
TempTick,2018-06-05,"Believed to be responsible for the targeting of South Korean actors prior to the meeting of Donald J. Trump and Kim Jong-un.","This threat actor targets organizations in the finance, defense, aerospace, technology, health-care, and automotive sectors and media organizations in East Asia for the purpose of espionage. This threat actor is also known for targeting a South Korean company that produces USB sticks generally used to transfer data to air-gapped networks.",,"South Korea, Japan",China,,"Government, Private sector",https://www.wsj.com/articles/south-korea-fends-off-chinese-russian-cyberattacks-u-s-researcher-says-1528194642,https://www.independent.co.uk/life-style/gadgets-and-tech/news/trump-us-north-korea-summit-kim-jong-un-hackers-china-russia-a8384586.html,https://researchcenter.paloaltonetworks.com/2018/06/unit42-tick-group-weaponized-secure-usb-drives-target-air-gapped-critical-systems/
"Targeting of organizations associated with trade activity with China",2018-08-16,,"A threat actor is targeting multiple organizations with trade ties to China, including those connected with China’s Belt and Road Initiative. The actor also targets organizations in advance of officials’ meetings with Chinese trade officials.",,"United States, Kenya, Mongolia, Brazil",China,Espionage,"Government, Private sector",https://www.recordedfuture.com/chinese-cyberespionage-operations/,,
"Targeting of foreign ministries",2018-02-28,"Believed to be the work of APT 28","A threat actor targeted a foreign ministry in Europe and in North America using spear-phishing techniques for the purpose of espionage.",,,"Russian Federation",Espionage,Government,https://researchcenter.paloaltonetworks.com/2018/02/unit42-sofacy-attacks-multiple-government-entities/,,
"Operation Parliament",2018-04-12,,"This threat actor uses spear-phishing techniques to target parliaments, government ministries, academics, and media organizations, primarily in the Middle East, for the purpose of espionage.",,"Palestine, Egypt, Jordan, United Arab Emirates, Saudi Arabia, Djibouti, Qatar, Chile, Lebonon, Somalia, Iraq, Morocco, Syria, India, Iran, Canada, United States, United Kingdom, Germany, Israel, Afghanistan, Serbia, Russia, Oman, Kuwait, South Korea, Denmark",,Espionage,"Government, Civil society",https://securelist.com/operation-parliament-who-is-doing-what/85237/,,
"Operation GhostSecret",2018-04-24,"Believed to be the work of the Lazarus Group","A threat actor targets critical infrastructure and organizations in the entertainment, finance, health-care, education, and telecommunications sectors.",,"United States, United Kingdom, India, Thailand, Guatemala, Germany, France, Canada, Brazil, China, Bangladesh, Thailand, Hong Kong, Japan, Australia,","Korea (Democratic People's Republic of)",Espionage,"Private sector",https://securingtomorrow.mcafee.com/mcafee-labs/analyzing-operation-ghostsecret-attack-seeks-to-steal-data-worldwide/,,
"Compromise of the German Foreign Office",2018-03-16,"Believed to be the work of Turla","A threat actor has compromised the German Foreign Office, for the purpose of espionage.",,Germany,"Russian Federation",Espionage,Government,https://www.sueddeutsche.de/digital/exklusiv-so-schleusten-die-hacker-daten-aus-dem-auswaertigen-amt-1.3894534,https://www.welivesecurity.com/2018/08/22/turla-unique-outlook-backdoor/,
"Targeting of a European defense agency",2018-03-15,"Believed to be the work of APT 28","A threat actor targeted a European defense agency with a spear-phishing email, which only deploys a payload if the victim opens an email attachment and scrolls to page 3.",,,"Russian Federation",Espionage,Government,https://researchcenter.paloaltonetworks.com/2018/03/unit42-sofacy-uses-dealerschoice-target-european-government-agency/,,
"Inception Framework",2018-03-14,,"This threat actor uses spear-phishing techniques to target private-sector energy, defense, aerospace, research, and media organizations and embassies in Africa, Europe, and the Middle East, for the purpose of espionage.",,"South Africa, Kenya, United Kingdom, Malaysia, Suriname",,Espionage,"Government, Private sector",https://www.symantec.com/blogs/threat-intelligence/inception-framework-hiding-behind-proxies,,
"Targeting of Japanese companies",2018-04-22,"Believed to be the work of APT 10","This threat actor targets Japanese media and defense companies for espionage purposes.",,Japan,China,Espionage,"Private sector",https://www.bloomberg.com/news/articles/2018-04-22/china-cyberspies-targeted-japanese-firms-for-north-korea-secrets,https://www.fireeye.com/blog/threat-research/2018/09/apt10-targeting-japanese-corporations-using-updated-ttps.html,
